Timestamp,Código,Modelo,Cushion,Capa,Programa,Resultado
2026-02-20 10:11:08,2010.FS17.CUSH01.SS1.P3.Sand Performance Basketweave.BTO,Armless C1,CUSH01,1,4,PW_ERR
2026-02-20 10:11:40,2010.FS17.CUSH01.SS1.P3.Sand Performance Basketweave.BTO,Armless C1,CUSH01,1,4,NG
2026-03-09 10:29:23,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:30:47,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:34:47,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:36:23,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:36:41,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:36:56,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:37:47,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:38:00,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:38:47,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 10:39:53,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,OK
2026-03-09 10:41:14,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,2,9,NG
2026-03-09 10:42:01,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,2,9,OK
2026-03-09 10:59:05,2010.FS8.CUSH01.SS6.P3.Snow Performance Boucle.BTO,Corner Base C1,CUSH01,1,8,NG
2026-03-09 12:24:13,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,NG
2026-03-09 12:24:15,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,NG
2026-03-09 12:24:27,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,NG
2026-03-09 12:24:36,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,NG
2026-03-09 12:26:06,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,OK
2026-03-09 12:27:27,2010.FS8.CUSH02.SS6.P3.Navy Performance Velvet.BTO,Corner Base C2,CUSH02,1,10,OK
